NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -2.42417E-02, -2.43476E-02, -2.44377E-02, -2.45134E-02, -2.45736E-02, -2.46148E-02, -2.46317E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -2.48542E-02, -2.50401E-02, -2.51947E-02, -2.53243E-02, -2.54355E-02, -2.55333E-02, -2.56201E-02, -2.56948E-02, -2.57524E-02, -2.57852E-02, -2.57838E-02, -2.57388E-02, -2.56422E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA, -2.55023E-02, -2.57919E-02, -2.60332E-02, -2.62303E-02, -2.63904E-02, -2.65230E-02, -2.66380E-02, -2.67434E-02, -2.68435E-02, -2.69369E-02, -2.70169E-02, -2.70719E-02, -2.70883E-02, -2.70527E-02, -2.69541E-02, -2.67856E-02, -2.65449E-02,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA, -2.63847E-02, -2.67697E-02, -2.70948E-02, -2.73597E-02, -2.75694E-02, -2.77339E-02, -2.78668E-02, -2.79834E-02, -2.80963E-02, -2.82125E-02, -2.83307E-02, -2.84410E-02, -2.85265E-02, -2.85673E-02, -2.85440E-02, -2.84416E-02, -2.82515E-02, -2.79720E-02, -2.76075E-02,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA, -2.66730E-02, -2.72424E-02, -2.77562E-02, -2.82036E-02, -2.85769E-02, -2.88740E-02, -2.91001E-02, -2.92686E-02, -2.93990E-02, -2.95141E-02, -2.96339E-02, -2.97700E-02, -2.99211E-02, -3.00727E-02, -3.01995E-02, -3.02720E-02, -3.02628E-02, -3.01515E-02, -2.99283E-02, -2.95931E-02, -2.91544E-02, -2.86263E-02,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA, -2.73046E-02, -2.80241E-02, -2.86987E-02, -2.93110E-02, -2.98448E-02, -3.02871E-02, -3.06318E-02, -3.08834E-02, -3.10583E-02, -3.11840E-02, -3.12945E-02, -3.14209E-02, -3.15822E-02, -3.17775E-02, -3.19846E-02, -3.21657E-02, -3.22770E-02, -3.22797E-02, -3.21475E-02, -3.18702E-02, -3.14524E-02, -3.09093E-02, -3.02627E-02, -2.95367E-02,NA,NA,NA,NA,NA,
NA,NA,NA,NA, -2.86709E-02, -2.95274E-02, -3.03408E-02, -3.10879E-02, -3.17448E-02, -3.22902E-02, -3.27110E-02, -3.30074E-02, -3.31983E-02, -3.33210E-02, -3.34252E-02, -3.35593E-02, -3.37538E-02, -3.40084E-02, -3.42893E-02, -3.45387E-02, -3.46919E-02, -3.46949E-02, -3.45160E-02, -3.41479E-02, -3.36040E-02, -3.29115E-02, -3.21031E-02, -3.12125E-02, -3.02700E-02,NA,NA,NA,NA,
NA,NA,NA, -2.91274E-02, -3.01690E-02, -3.12006E-02, -3.21981E-02, -3.31313E-02, -3.39667E-02, -3.46708E-02, -3.52178E-02, -3.55987E-02, -3.58311E-02,NA,NA,NA,NA,NA,NA,NA, -3.76779E-02, -3.76496E-02, -3.73727E-02, -3.68499E-02, -3.61120E-02, -3.52038E-02, -3.41740E-02, -3.30674E-02, -3.19218E-02, -3.07666E-02,NA,NA,NA,
NA,NA, -2.93544E-02, -3.05629E-02, -3.18037E-02, -3.30577E-02, -3.42980E-02, -3.54881E-02, -3.65834E-02, -3.75339E-02, -3.82939E-02, -3.88358E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA, -4.13377E-02, -4.08662E-02, -4.00822E-02, -3.90455E-02, -3.78277E-02, -3.64966E-02, -3.51093E-02, -3.37096E-02, -3.23292E-02, -3.09892E-02,NA,NA,
NA,NA, -3.06753E-02, -3.20901E-02, -3.35714E-02, -3.51033E-02, -3.66594E-02, -3.81999E-02, -3.96696E-02, -4.09997E-02, -4.21163E-02, -4.29588E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA, -4.60123E-02, -4.51746E-02, -4.39581E-02, -4.24691E-02, -4.08132E-02, -3.90792E-02, -3.73337E-02, -3.56224E-02, -3.39746E-02, -3.24072E-02,NA,NA,
NA, -3.05040E-02, -3.20401E-02, -3.36909E-02, -3.54555E-02, -3.73260E-02, -3.92827E-02, -4.12888E-02, -4.32849E-02, -4.51852E-02, -4.68815E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -5.04812E-02, -4.85746E-02, -4.64213E-02, -4.41641E-02, -4.19069E-02, -3.97171E-02, -3.76342E-02, -3.56778E-02, -3.38550E-02, -3.21648E-02,NA,
NA, -3.16735E-02, -3.34223E-02, -3.53347E-02, -3.74221E-02, -3.96907E-02, -4.21365E-02, -4.47376E-02, -4.74433E-02, -5.01626E-02, -5.27564E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -5.69140E-02, -5.39643E-02, -5.08820E-02, -4.78362E-02, -4.49282E-02, -4.22098E-02, -3.97003E-02, -3.74005E-02, -3.53006E-02, -3.33859E-02,NA,
NA, -3.28156E-02, -3.47863E-02, -3.69772E-02, -3.94162E-02, -4.21312E-02, -4.51443E-02, -4.84641E-02, -5.20701E-02, -5.58906E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -6.00232E-02, -5.57296E-02, -5.17142E-02, -4.80438E-02, -4.47299E-02, -4.17554E-02, -3.90909E-02, -3.67032E-02, -3.45595E-02,NA,
 -3.19446E-02, -3.38967E-02, -3.60883E-02, -3.85608E-02, -4.13622E-02, -4.45477E-02, -4.81758E-02, -5.23014E-02, -5.69587E-02, -6.21300E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -6.64326E-02, -6.07056E-02, -5.55980E-02, -5.11025E-02, -4.71646E-02, -4.37152E-02, -4.06860E-02, -3.80152E-02, -3.56496E-02,NA,
 -3.27652E-02, -3.48803E-02, -3.72793E-02, -4.00186E-02, -4.31680E-02, -4.68121E-02, -5.10510E-02, -5.59958E-02, -6.17534E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -6.54129E-02, -5.92113E-02, -5.39116E-02, -4.93783E-02, -4.54832E-02, -4.21162E-02, -3.91859E-02, -3.66184E-02, -3.43540E-02,
 -3.34733E-02, -3.57298E-02, -3.83092E-02, -4.12815E-02, -4.47354E-02, -4.87829E-02, -5.35625E-02, -5.92389E-02, -6.59906E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -6.93776E-02, -6.22435E-02, -5.62645E-02, -5.12310E-02, -4.69627E-02, -4.33132E-02, -4.01661E-02, -3.74300E-02, -3.50328E-02,
 -3.40449E-02, -3.64128E-02, -3.91332E-02, -4.22861E-02, -4.59739E-02, -5.03279E-02, -5.55132E-02, -6.17310E-02, -6.92071E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -7.21691E-02, -6.44191E-02, -5.79808E-02, -5.26017E-02, -4.80706E-02, -4.42188E-02, -4.09143E-02, -3.80542E-02, -3.55583E-02,
 -3.44611E-02, -3.69038E-02, -3.97165E-02, -4.29841E-02, -4.68153E-02, -5.13486E-02, -5.67583E-02, -6.32553E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -6.55667E-02, -5.89447E-02, -5.34107E-02, -4.87509E-02, -4.47930E-02, -4.14012E-02, -3.84693E-02, -3.59140E-02,
 -3.47098E-02, -3.71871E-02, -4.00387E-02, -4.33486E-02, -4.72233E-02, -5.17969E-02, -5.72342E-02, -6.37290E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -6.56553E-02, -5.91262E-02, -5.36319E-02, -4.89820E-02, -4.50183E-02, -4.16130E-02, -3.86642E-02, -3.60914E-02,
 -3.47868E-02, -3.72582E-02, -4.00952E-02, -4.33760E-02, -4.71980E-02, -5.16802E-02, -5.69641E-02, -6.32076E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -6.47837E-02, -5.85775E-02, -5.32923E-02, -4.87776E-02, -4.49011E-02, -4.15521E-02, -3.86395E-02,NA,
NA, -3.71233E-02, -3.98968E-02, -4.30849E-02, -4.67708E-02, -5.10525E-02, -5.60406E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -5.74101E-02, -5.24603E-02, -4.81799E-02, -4.44679E-02, -4.12353E-02, -3.84058E-02,NA,
NA, -3.67978E-02, -3.94667E-02, -4.25107E-02, -4.59965E-02, -4.99989E-02, -5.45967E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -5.57646E-02, -5.12287E-02, -4.72504E-02, -4.37599E-02, -4.06905E-02, -3.79823E-02,NA,
NA, -3.63036E-02, -3.88366E-02, -4.16994E-02, -4.49422E-02, -4.86178E-02, -5.27767E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -5.37841E-02, -4.96974E-02, -4.60592E-02, -4.28262E-02, -3.99524E-02, -3.73938E-02,NA,
NA,NA, -3.80425E-02, -4.07010E-02, -4.36776E-02, -4.70063E-02, -5.07148E-02, -5.48157E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -5.55909E-02, -5.15965E-02, -4.79614E-02, -4.46761E-02, -4.17181E-02, -3.90588E-02,NA,NA,
NA,NA, -3.71211E-02, -3.95645E-02, -4.22680E-02, -4.52508E-02, -4.85236E-02, -5.20822E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -5.27698E-02, -4.93066E-02, -4.61030E-02, -4.31647E-02, -4.04844E-02, -3.80470E-02,NA,NA,
NA,NA,NA, -3.83345E-02, -4.07702E-02, -4.34225E-02, -4.62905E-02, -4.93599E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -4.99811E-02, -4.69945E-02, -4.41889E-02, -4.15793E-02, -3.91686E-02,NA,NA,NA,
NA,NA,NA,NA, -3.92308E-02, -4.15766E-02, -4.40788E-02, -4.67178E-02, -4.94582E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -4.99420E-02, -4.72859E-02, -4.47176E-02, -4.22704E-02, -3.99641E-02,NA,NA,NA,NA,
NA,NA,NA,NA,NA, -3.97538E-02, -4.19317E-02, -4.41982E-02, -4.65195E-02, -4.88478E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -4.92232E-02, -4.69723E-02, -4.47213E-02, -4.25149E-02, -4.03850E-02,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA, -3.98764E-02, -4.18240E-02, -4.37942E-02, -4.57462E-02, -4.76291E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -4.79216E-02, -4.61055E-02, -4.42181E-02, -4.23071E-02, -4.04107E-02,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA, -3.96045E-02, -4.12818E-02, -4.29257E-02, -4.44953E-02, -4.59441E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA, -4.61716E-02, -4.47795E-02, -4.32670E-02, -4.16779E-02, -4.00510E-02,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA, -3.89738E-02, -4.03652E-02, -4.16818E-02, -4.28873E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA, -4.31094E-02, -4.19539E-02, -4.06869E-02, -3.93428E-02,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -3.91526E-02, -4.01632E-02, -4.10440E-02,NA,NA,NA,NA,NA,NA,NA, -4.12122E-02, -4.03761E-02, -3.94101E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
